state,district,scenario,year,risk_rank,overall_risk_score,overall_risk_class,flood_hazard_score,drought_hazard_score,ag_stress_score
MAHARASHTRA,RAIGAD,ssp245,2040,3,62.16,High Risk,98.92,66.6,14.1
BIHAR,KISHANGANJ,ssp245,2040,4,55.79,High Risk,62.47,67.58,34.25
MAHARASHTRA,KOLHAPUR,ssp245,2040,5,49.86,Moderate Risk,65.47,32.86,51.47
MAHARASHTRA,PALGHAR,ssp245,2040,6,45.68,Moderate Risk,100.0,23.19,8.55
MAHARASHTRA,THANE,ssp245,2040,7,38.7,Moderate Risk,97.18,11.2,2.55
BIHAR,SAHARSA,ssp245,2040,8,34.16,Moderate Risk,28.62,34.21,40.57
MAHARASHTRA,SANGLI,ssp245,2040,9,32.77,Moderate Risk,18.47,29.64,53.12
BIHAR,MADHEPURA,ssp245,2040,10,30.15,Moderate Risk,25.6,33.42,31.63
BIHAR,MADHUBANI,ssp245,2040,11,28.69,Moderate Risk,34.63,19.62,32.33
TELANGANA,BHADRADRI KOTHAGUDEM,ssp245,2040,12,28.2,Moderate Risk,22.28,22.02,42.33
BIHAR,BANKA,ssp245,2040,13,27.59,Moderate Risk,25.47,21.26,37.46
MAHARASHTRA,SATARA,ssp245,2040,14,27.07,Moderate Risk,46.66,15.56,17.63
BIHAR,DARBHANGA,ssp245,2040,15,26.41,Moderate Risk,27.26,20.08,32.79
BIHAR,JAMUI,ssp245,2040,16,25.53,Moderate Risk,23.75,18.06,36.32
BIHAR,ARARIA,ssp245,2040,17,25.3,Moderate Risk,48.89,17.27,7.13
BIHAR,SIWAN,ssp245,2040,18,25.21,Moderate Risk,20.69,51.33,0.0
BIHAR,GOPALGANJ,ssp245,2040,19,23.35,Low Risk,23.56,43.15,0.0
MAHARASHTRA,SOLAPUR,ssp245,2040,20,22.68,Low Risk,3.29,23.96,43.82
TELANGANA,JOGULAMBA GADWAL,ssp245,2040,21,22.26,Low Risk,0.04,24.61,45.45
BIHAR,SARAN,ssp245,2040,22,22.05,Low Risk,17.29,45.7,0.0
BIHAR,PURBA CHAMPARAN,ssp245,2040,23,20.88,Low Risk,26.52,33.13,0.0
MAHARASHTRA,NASHIK,ssp245,2040,24,18.99,Low Risk,44.26,10.0,0.0
BIHAR,SUPAUL,ssp245,2040,25,18.9,Low Risk,43.23,10.76,0.0
TELANGANA,KUMURAM BHEEM,ssp245,2040,26,18.42,Low Risk,44.31,4.36,4.62
MAHARASHTRA,PUNE,ssp245,2040,27,17.48,Low Risk,38.7,9.43,2.13
TELANGANA,MULUGU,ssp245,2040,28,17.09,Low Risk,34.16,5.18,11.07
BIHAR,VAISHALI,ssp245,2040,29,16.69,Low Risk,13.31,34.38,0.0
BIHAR,MUZAFFARPUR,ssp245,2040,30,16.67,Low Risk,23.58,24.06,0.0
MAHARASHTRA,AMRAVATI,ssp245,2040,31,16.28,Low Risk,42.54,3.98,0.0
MAHARASHTRA,NANDURBAR,ssp245,2040,32,15.64,Low Risk,33.98,9.12,1.85
MAHARASHTRA,BHANDARA,ssp245,2040,33,15.58,Low Risk,43.72,0.79,0.0
MAHARASHTRA,AKOLA,ssp245,2040,34,15.35,Low Risk,38.38,5.47,0.0
