district,scenario,overall_risk_2030,overall_risk_2035,overall_risk_2040,flood_risk_2030,flood_risk_2035,flood_risk_2040,drought_risk_2030,drought_risk_2035,drought_risk_2040,agstress_2030,agstress_2035,agstress_2040,temperature_change_2030,temperature_change_2035,temperature_change_2040,rainfall_change_2030,rainfall_change_2035,rainfall_change_2040
MUMBAI SUBURBAN,ssp585,,,,98.86,99.0,99.15,,,,15.19,27.25,60.49,,,,4.87,6.16,7.45
NAGPUR,ssp245,14.36,14.49,14.62,40.08,40.52,40.95,0.95,0.89,0.82,0.0,0.0,0.0,0.242697495222103,0.492697495222103,0.742697495222103,6.89,8.209999999999999,9.53
NAGPUR,ssp585,14.36,18.31,31.37,40.08,40.52,40.95,0.95,4.74,17.74,0.0,8.23,36.11,0.5426974952221031,0.992697495222103,1.442697495222103,6.89,8.21,9.53
NANDED,ssp245,6.38,6.48,6.57,15.58,16.12,16.66,2.64,2.38,2.12,0.0,0.0,0.0,0.2173791607221105,0.4673791607221105,0.7173791607221105,9.05,10.39,11.73
NANDED,ssp585,6.38,14.94,15.3,15.58,16.12,16.66,2.64,10.93,10.94,0.0,18.24,18.81,0.5173791607221105,0.9673791607221104,1.4173791607221105,9.05,10.39,11.73
NANDURBAR,ssp245,14.56,14.67,15.64,33.22,33.6,33.98,8.39,8.32,9.12,0.0,0.0,1.85,0.2052773813406716,0.4552773813406716,0.7052773813406716,7.98,9.31,10.64
NANDURBAR,ssp585,15.89,25.72,43.66,33.22,33.6,33.98,9.73,19.48,37.41,2.86,23.81,62.24,0.5052773813406717,0.9552773813406716,1.4052773813406716,7.98,9.31,10.64
NASHIK,ssp245,18.99,18.99,18.99,44.48,44.37,44.26,9.78,9.89,10.0,0.0,0.0,0.0,0.262091734011971,0.5120917340119711,0.7620917340119711,6.85,8.165,9.48
NASHIK,ssp585,18.99,25.02,38.94,44.48,44.37,44.26,9.78,15.97,30.14,0.0,12.99,43.0,0.5620917340119711,1.012091734011971,1.462091734011971,6.85,8.17,9.48
PALGHAR,ssp245,44.77,43.24,45.68,99.27,99.64,100.0,28.64,23.91,23.19,0.0,0.0,8.55,0.3009898112879909,0.550989811287991,0.800989811287991,6.74,8.055,9.37
PALGHAR,ssp585,53.55,70.4,82.36,99.27,99.64,100.0,38.11,52.05,60.1,18.22,57.71,87.74,0.600989811287991,1.050989811287991,1.500989811287991,6.74,8.06,9.37
PARBHANI,ssp245,6.03,6.02,6.01,14.79,14.96,15.13,2.43,2.24,2.05,0.0,0.0,0.0,0.273777708080086,0.5237777080800861,0.7737777080800861,4.4,5.6850000000000005,6.97
PARBHANI,ssp585,6.03,15.48,33.94,14.79,14.96,15.13,2.43,11.79,30.25,0.0,20.38,60.2,0.5737777080800861,1.023777708080086,1.473777708080086,4.4,5.68,6.97
PUNE,ssp245,16.1,16.3,17.48,37.86,38.28,38.7,8.13,8.28,9.43,0.0,0.0,2.13,0.3150857104195772,0.5650857104195772,0.8150857104195772,4.83,6.12,7.41
