state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
MAHARASHTRA,GONDIA,ssp585,2030,14.47,Low Risk,,40.76,Moderate,0.58,Low,0.0,Low,1.0343,4.55,0.5917816784647016,0.0,51.72,72.7,59.50060419252874,14.93807744064867,4.55
MAHARASHTRA,HINGOLI,ssp585,2030,27.65,Moderate Risk,,22.64,Low,56.36,High,0.0,Low,1.0455,4.5,,0.0,52.28,33.3,81.11751344322899,17.84654522712995,4.5
MAHARASHTRA,JALGAON,ssp585,2030,11.92,Low Risk,,28.32,Moderate,5.75,Low,0.0,Low,1.0399,4.67,0.6006426241662723,0.0,52.0,89.8,78.83894226675517,17.75753508149156,4.67
MAHARASHTRA,JALNA,ssp585,2030,10.1,Low Risk,,22.57,Low,6.29,Low,0.0,Low,1.0264,2.46,0.5804320534070329,0.0,51.32,101.7,80.8684732839947,18.907049562605025,2.46
MAHARASHTRA,KOLHAPUR,ssp585,2030,23.89,Low Risk,,63.32,High,4.93,Low,0.0,Low,1.0347,5.28,0.5825651446978342,0.0,51.74,79.4,75.77344913979084,33.37801405814233,5.28
MAHARASHTRA,LATUR,ssp585,2030,22.3,Low Risk,,11.3,Low,52.41,High,0.0,Low,1.0604,7.24,0.4791942232185022,0.0,53.02,103.1,66.34888966691219,15.868190568103822,7.24
MAHARASHTRA,MUMBAI,ssp585,2030,37.38,Moderate Risk,,96.8,Very High,10.0,Low,0.0,Low,1.0317,4.29,,0.0,51.58,33.3,134.9732203084416,29.5760237219733,4.29
MAHARASHTRA,MUMBAI SUBURBAN,ssp585,2030,38.1,Moderate Risk,,98.86,Very High,10.0,Low,0.0,Low,1.0363,4.87,,0.0,51.82,33.3,119.0876050858903,31.687653189657233,4.87
MAHARASHTRA,NAGPUR,ssp585,2030,14.36,Low Risk,,40.08,Moderate,0.95,Low,0.0,Low,1.0543,6.89,0.5426974952221031,0.0,52.72,57.4,60.89632525692667,20.633382075620656,6.89
MAHARASHTRA,NANDED,ssp585,2030,23.88,Low Risk,,15.58,Low,52.64,High,0.0,Low,1.0759,9.05,0.5173791607221105,0.0,53.8,112.8,67.22607552378747,19.22954024994233,9.05
MAHARASHTRA,NANDURBAR,ssp585,2030,14.56,Low Risk,,33.22,Moderate,8.39,Low,0.0,Low,1.0613,7.98,0.5052773813406717,0.0,53.06,94.9,88.72246257002115,18.81882620378272,7.98
MAHARASHTRA,NASHIK,ssp585,2030,18.99,Low Risk,,44.48,Moderate,9.78,Low,0.0,Low,1.0521,6.85,0.5620917340119711,0.0,52.6,96.6,93.90722182928087,21.94760658989172,6.85
MAHARASHTRA,PALGHAR,ssp585,2030,38.24,Moderate Risk,,99.27,Very High,10.0,Low,0.0,Low,1.0478,6.74,0.600989811287991,0.0,52.39,83.1,122.08637451919031,34.32169678490172,6.74
MAHARASHTRA,PARBHANI,ssp585,2030,19.64,Low Risk,,14.79,Low,41.33,Moderate,0.0,Low,1.0419,4.4,0.5737777080800861,0.0,52.1,99.9,66.43179430761619,18.080294730871508,4.4
MAHARASHTRA,PUNE,ssp585,2030,16.1,Low Risk,,37.86,Moderate,8.13,Low,0.0,Low,1.0338,4.83,0.6150857104195773,0.0,51.69,65.1,87.75058127360653,21.72467804595561,4.83
MAHARASHTRA,RAIGAD,ssp585,2030,37.71,Moderate Risk,,97.74,Very High,10.0,Low,0.0,Low,1.0321,4.66,0.6352134870158459,0.0,51.6,73.6,105.3041569982667,34.50854337974067,4.66
MAHARASHTRA,RATNAGIRI,ssp585,2030,38.44,Moderate Risk,,99.82,Very High,10.0,Low,0.0,Low,1.0323,5.15,0.6278515418370596,0.0,51.62,84.7,105.99135518943127,41.25678167193998,5.15
MAHARASHTRA,SANGLI,ssp585,2030,8.73,Low Risk,,17.04,Low,7.89,Low,0.0,Low,1.0362,5.01,0.5843440453211592,0.0,51.81,71.4,74.90628688742608,20.037991924650004,5.01
MAHARASHTRA,SATARA,ssp585,2030,18.07,Low Risk,,44.48,Moderate,7.15,Low,0.0,Low,1.0351,5.14,0.6314131809605563,0.0,51.76,56.6,84.09817839650302,24.780340663083685,5.14
MAHARASHTRA,SINDHUDURG,ssp585,2030,37.2,Moderate Risk,,98.22,Very High,8.06,Low,0.0,Low,1.0341,5.48,0.6108547939194751,0.0,51.7,106.0,87.4860334789753,48.16422855558628,5.48
MAHARASHTRA,SOLAPUR,ssp585,2030,21.78,Low Risk,,3.07,Low,55.31,High,4.5,Low,1.0372,4.75,0.5139089087645303,0.0004797453947846115,51.65,81.7,70.46513726519326,15.480053678713649,4.75
MAHARASHTRA,THANE,ssp585,2030,37.14,Moderate Risk,,96.43,Very High,9.69,Low,0.0,Low,1.0424,5.82,0.600989811287991,0.0,52.12,83.1,93.58035524526974,29.779397950885976,5.82
MAHARASHTRA,WARDHA,ssp585,2030,14.9,Low Risk,,39.8,Moderate,2.78,Low,0.0,Low,1.0631,7.7,0.5233064850171616,0.0,53.15,122.0,67.73268397793368,18.72669620563579,7.7
MAHARASHTRA,WASHIM,ssp585,2030,13.23,Low Risk,,33.24,Moderate,4.55,Low,0.0,Low,1.0464,4.84,0.5567127658261264,0.0,52.32,101.6,74.36041475898688,18.040225351003517,4.84
MAHARASHTRA,YAVATMAL,ssp585,2030,23.54,Low Risk,,31.32,Moderate,35.95,Moderate,0.0,Low,1.0673,7.98,0.5131334357791666,0.0,53.36,117.4,71.38865087209177,19.14137525376551,7.98
TELANGANA,ADILABAD,ssp585,2030,27.91,Moderate Risk,,27.87,Moderate,51.87,High,0.0,Low,1.0777,9.67,0.4754068215688278,0.0,53.89,127.8,64.32171208192085,15.189448707435616,9.67
